date,downloads
2024-12-09,500
2024-12-10,627
2024-12-11,292
2024-12-12,345
2024-12-13,401
2024-12-14,425
2024-12-15,201
2024-12-16,412
2024-12-17,306
2024-12-18,303
2024-12-19,375
2024-12-20,292
2024-12-21,104
2024-12-22,195
2024-12-23,466
2024-12-24,61
2024-12-25,58
2024-12-26,168
2024-12-27,197
2024-12-28,211
2024-12-29,122
2024-12-30,111
2024-12-31,175
2025-01-01,97
2025-01-02,117
2025-01-03,136
2025-01-04,61
2025-01-05,192
2025-01-06,268
2025-01-07,321
2025-01-08,305
2025-01-09,518
2025-01-10,351
2025-01-11,435
2025-01-12,361
2025-01-13,463
2025-01-14,354
2025-01-15,326
2025-01-16,282
2025-01-17,251
2025-01-18,94
2025-01-19,92
2025-01-20,433
2025-01-21,266
2025-01-22,190
2025-01-23,386
2025-01-24,190
2025-01-25,164
2025-01-26,122
2025-01-27,296
2025-01-28,194
2025-01-29,275
2025-01-30,149
2025-01-31,186
2025-02-01,157
2025-02-02,275
2025-02-03,384
2025-02-04,247
2025-02-05,285
2025-02-06,321
2025-02-07,500
2025-02-08,248
2025-02-09,268
2025-02-10,304
2025-02-11,409
2025-02-12,627
2025-02-13,356
2025-02-14,242
2025-02-15,235
2025-02-16,324
2025-02-17,291
2025-02-18,452
2025-02-19,292
2025-02-20,443
2025-02-21,216
2025-02-22,163
2025-02-23,166
2025-02-24,192
2025-02-25,308
2025-02-26,458
2025-02-27,263
2025-02-28,212
2025-03-01,278
2025-03-02,148
2025-03-03,352
2025-03-04,341
2025-03-05,363
2025-03-06,352
2025-03-07,503
2025-03-08,504
2025-03-09,192
2025-03-10,454
2025-03-11,321
2025-03-12,349
2025-03-13,481
2025-03-14,340
2025-03-15,126
2025-03-16,374
2025-03-17,579
2025-03-18,252
2025-03-19,231
2025-03-20,351
2025-03-21,347
2025-03-22,138
2025-03-23,398
2025-03-24,221
2025-03-25,170
2025-03-26,235
2025-03-27,323
2025-03-28,333
2025-03-29,373
2025-03-30,333
2025-03-31,391
2025-04-01,337
2025-04-02,199
2025-04-03,249
2025-04-04,411
2025-04-05,102
2025-04-06,192
2025-04-07,297
2025-04-08,440
2025-04-09,478
2025-04-10,426
2025-04-11,450
2025-04-12,176
2025-04-13,220
2025-04-14,417
2025-04-15,193
2025-04-16,347
2025-04-17,327
2025-04-18,394
2025-04-19,469
2025-04-20,222
2025-04-21,456
2025-04-22,699
2025-04-23,457
2025-04-24,260
2025-04-25,241
2025-04-26,370
2025-04-27,323
2025-04-28,591
2025-04-29,230
2025-04-30,330
2025-05-01,173
2025-05-02,156
2025-05-03,217
2025-05-04,271
2025-05-05,449
2025-05-06,431
2025-05-07,586
2025-05-08,443
2025-05-09,262
2025-05-10,133
2025-05-11,157
2025-05-12,311
2025-05-13,303
2025-05-14,498
2025-05-15,390
2025-05-16,282
2025-05-17,139
2025-05-18,148
2025-05-19,502
2025-05-20,629
2025-05-21,587
2025-05-22,704
2025-05-23,293
2025-05-24,97
2025-05-25,180
2025-05-26,328
2025-05-27,312
2025-05-28,591
2025-05-29,437
2025-05-30,458
2025-05-31,146
2025-06-01,176
2025-06-02,569
2025-06-03,649
2025-06-04,463
2025-06-05,399
2025-06-06,619
2025-06-07,177
2025-06-08,254
2025-06-09,790
2025-06-10,754
2025-06-11,1136
2025-06-12,486
2025-06-13,685
2025-06-14,202
2025-06-15,127
2025-06-16,731
2025-06-17,412
2025-06-18,561
2025-06-19,335
2025-06-20,356
2025-06-21,189
2025-06-22,380
2025-06-23,609
2025-06-24,708
2025-06-25,1165
2025-06-26,1014
2025-06-27,657
2025-06-28,327
2025-06-29,178
2025-06-30,850
2025-07-01,1093
2025-07-02,1086
2025-07-03,695
2025-07-04,796
2025-07-05,389
2025-07-06,352
2025-07-07,691
2025-07-08,1120
2025-07-09,627
2025-07-10,907
2025-07-11,890
2025-07-12,302
2025-07-13,566
2025-07-14,976
2025-07-15,1113
2025-07-16,796
2025-07-17,739
2025-07-18,633
2025-07-19,620
2025-07-20,564
2025-07-21,642
2025-07-22,827
2025-07-23,790
2025-07-24,847
2025-07-25,903
2025-07-26,455
2025-07-27,290
2025-07-28,999
2025-07-29,1088
2025-07-30,799
2025-07-31,1157
2025-08-01,865
2025-08-02,325
2025-08-03,712
2025-08-04,1545
2025-08-05,1310
2025-08-06,2736
2025-08-07,1628
2025-08-08,908
2025-08-09,462
2025-08-10,373
2025-08-11,1289
2025-08-12,2121
2025-08-13,1236
2025-08-14,1390
2025-08-15,1116
2025-08-16,543
2025-08-17,354
2025-08-18,896
2025-08-19,1076
2025-08-20,1105
2025-08-21,890
2025-08-22,796
2025-08-23,482
2025-08-24,622
2025-08-25,931
2025-08-26,1468
2025-08-27,1445
2025-08-28,1465
2025-08-29,998
2025-08-30,601
2025-08-31,408
2025-09-01,779
2025-09-02,1856
2025-09-03,1229
2025-09-04,1573
2025-09-05,1195
2025-09-06,951
2025-09-07,687
2025-09-08,1463
2025-09-09,1534
2025-09-10,2086
2025-09-11,1194
2025-09-12,1481
2025-09-13,1280
2025-09-14,1055
2025-09-15,1296
2025-09-16,2034
2025-09-17,2392
2025-09-18,1616
2025-09-19,1046
2025-09-20,1109
2025-09-21,1382
2025-09-22,2092
2025-09-23,1442
2025-09-24,1916
2025-09-25,1726
2025-09-26,1123
2025-09-27,862
2025-09-28,1119
2025-09-29,1466
2025-09-30,1828
2025-10-01,1515
2025-10-02,1368
2025-10-03,2031
2025-10-04,1147
2025-10-05,878
2025-10-06,1732
